Temperatura;Desv_ØEsférico;ForaTol_ØEsférico;Desv_CompDiv;Ajuste_Øesférico
30.4;0.017;0;0.008;0
22.6;0.017;0;0;0
22;0.03;0.001;0.02;-0.001
24;0.006;0;-0.013;0.005
25.2;0.015;0;-0.02;0
22.7;0.024;0;0.009;-0.005
19.5;0.006;0;-0.017;0
16.3;0.019;0;0.003;0
17.9;0.013;0;-0.005;0
24.4;0.024;0;0.009;0
24.6;0.016;0;-0.004;0
28.2;0.005;0;-0.015;0.005
30.4;0.002;0;-0.014;0
27.8;0.004;0;-0.014;0
24.7;-0.011;-0.011;0.001;0.015
18;0.017;0;-0.004;0
30;0.006;0;-0.017;0
17.6;0.006;0;0;0
28;0.016;0;-0.008;0
17.1;0.004;0;-0.013;0
22.4;0.006;0;-0.018;0
21;0.002;0;-0.019;0
25.4;0.012;0;-0.01;0
23;0.003;0;-0.022;0
22.6;0.025;0;0.003;0
20.6;0.024;0;0.001;0
20.7;0.028;0;-0.016;-0.005
22.5;0.026;0;-0.001;0
20.1;0.025;0;0.005;-0.01
16.5;0.03;0.001;0.011;-0.01
19.8;0.027;0;0;0
22.7;0.012;0;-0.013;0
21.5;0.021;0;-0.003;0
12;0.025;0;0.009;0
18;0.011;0;-0.01;0
22.2;0.017;0;-0.013;0
24.6;0.014;0;-0.004;0
24;0.008;0;-0.014;0
15;0.017;0;-0.004;0
19;0.015;0;-0.01;0
24;0.025;0;0.002;0
24.5;0.009;0;-0.015;0
20;0.019;0;-0.003;0
17.6;0.023;0;-0.009;0
21;0.02;0;0.005;0
22.6;0.023;0;0.011;0
22.9;0.013;0;-0.017;0
21;0.013;0;-0.008;0
23.1;0.02;0;0.007;0
26;0.005;0;-0.017;0
26.2;-0.001;0.001;-0.024;0.005
16.3;0.016;0;0.002;0
21.2;0.027;0;0.012;0
23.3;0.009;0;-0.008;0
21;0.016;0;-0.004;0
19.2;0.018;0;0.001;0
27;0.033;0.004;0.012;-0.005
29;0;0;-0.019;0
29.3;0.015;0;-0.004;0
19.7;0.007;0;-0.016;0
26.4;0.033;0.004;0.011;-0.005
32.1;0.033;0.004;0.011;-0.005
